gene	log2(fold_change)	p_value
Gstp1	0.19886	0.2661
Lonrf3	-0.356872	0.2662
Bdkrb1	-0.499162	0.26635
Ptk7	0.195403	0.2664
Plekha7	-0.410153	0.2666
Neurl1a	-0.364973	0.2667
Rps24	0.204238	0.26675
Adam11	-0.440002	0.26725
Lrp4	0.466693	0.2676
Ext1	-0.19512	0.26765
Leo1	0.223576	0.26765
Emc10	-0.197864	0.26815
Mgp	-0.220099	0.26825
Sdr42e1	-0.465522	0.2687
Nfkb1	0.211061	0.269
Nup133	0.223137	0.269
Dctpp1	0.298333	0.26905
Gpx1	-0.199805	0.2692
Rnd1	-0.275446	0.26925
6030458C11Rik	-0.236566	0.26935
Ifi204	0.236934	0.26955
Lmcd1	-0.200227	0.2696
Dusp3	-0.197047	0.2698
Hbp1	0.215191	0.2698
Gk5	0.429775	0.2699
Fam120c	-0.292919	0.26995
Cd276	0.20648	0.27
Gm9958	-0.601396	0.27015
Syncrip	0.207659	0.2704
Naa16	0.265617	0.27055
Try5	1.0176	0.2706
Prkg2	0.388051	0.2708
Ybx1	0.194452	0.27085
Svil	-0.196694	0.2709
Stxbp6	-0.470412	0.271
Ttc12	-0.25031	0.2713
Aff3	0.25069	0.27175
Socs1	0.30443	0.2718
Atp6v0d2	0.23446	0.2719
Mfsd3	-0.371074	0.272
Depdc1b	0.536726	0.27205
B230217O12Rik	0.60986	0.27225
Rab20	-0.301134	0.2723
Gjc2	-0.416492	0.27235
Prps1l3	0.227445	0.27235
P4ha1	0.196526	0.2725
Cry2	-0.223901	0.27255
Snora23	0.810628	0.27255
Pigg	-0.263711	0.2727
Ccdc116	0.608076	0.2728
Smarcc1	0.195714	0.2728
Pspc1	0.224296	0.27295
Ermp1	0.205578	0.27305
Hist1h2bl	-1.22588	0.2731
Tmem8	-0.388218	0.2731
Glipr1	-0.334319	0.2733
Ramp1	-0.26672	0.27335
Mfap5	-0.198417	0.2734
Mad2l1	0.222965	0.2735
Tiam2	0.407707	0.2735
Ube2e2	0.238035	0.27355
Rgs2	-0.298624	0.2737
Tmc7	-0.47518	0.27375
Scn2a1	-0.314178	0.2739
Ssrp1	0.191494	0.274
Wasf2	0.195972	0.274
Vstm4	0.271889	0.27405
Nsl1	0.337046	0.27425
Pdzk1ip1	0.535001	0.2744
Ubac2	0.224403	0.27445
Hagh	-0.241832	0.2748
Ugdh	0.193518	0.27495
Arhgef39	0.466286	0.27505
Rcor1	0.210218	0.2751
Sdcbp2	0.647531	0.27515
Dtx4	-0.273703	0.2753
Nedd4l	0.219966	0.2755
Cep170	0.192321	0.27575
Inf2	-0.189629	0.27575
Rbm25	0.192276	0.27605
Fbl	0.19964	0.27615
Neo1	-0.192021	0.2762
Rasl11a	-0.223078	0.2762
Cdk2	0.226907	0.27645
Sf3b2	0.189643	0.2771
Nrn1	0.19727	0.2774
Col4a5	0.190386	0.2776
Gramd1a	-0.202544	0.27765
D8Ertd82e	0.192681	0.2777
Pik3r2	0.191592	0.27775
Rfc3	0.286259	0.2778
2610524H06Rik	0.307707	0.27785
Gm13704	-1.05586	0.27785
Pms1	0.425612	0.27795
Zfp14	-0.275596	0.27795
Atp6v0c-ps2	-1.07663	0.278
Itga8	-0.197458	0.27805
Pex7	-0.263922	0.2783
Nedd9	-0.194674	0.27835
P4ha3	-0.189963	0.2785
Pbdc1	0.216001	0.2786
Hdlbp	0.202437	0.27865
Serpina3g	-0.522292	0.2788
Lgr6	-0.190033	0.27895
Hnrnpm	0.186817	0.279
Ppp2r3a	0.226457	0.27905
Crebzf	-0.202447	0.2792
Lyrm9	-0.305744	0.2792
Zmynd19	0.245986	0.27925
Ids	-0.200362	0.2795
Hspd1	0.192132	0.27955
Peli3	-0.40493	0.2796
Dnaic2	-0.350902	0.27975
Otud4	0.192534	0.2798
Haus3	0.26072	0.27995
Dna2	0.449784	0.28025
Opn4	-0.61286	0.28045
C1qtnf4	-0.560397	0.28065
Arrb2	0.399245	0.2807
Bcl10	0.209679	0.28075
Gcnt4	0.248427	0.28075
Pde7b	-0.1953	0.28075
Pla2r1	-0.191905	0.2808
Tln2	-0.21984	0.28085
Nono	0.191674	0.28095
Srfbp1	0.227454	0.281
Nes	-0.192259	0.28105
Atp1a3	-0.399818	0.2811
Fbxl16	-0.27744	0.2811
Ttc21b	0.228327	0.28115
Dhx58	-0.46165	0.2813
Fam162a	0.187107	0.2815
Rhbdl1	-0.297804	0.2815
Plekha8	0.208656	0.2816
S100a10	0.196121	0.2819
Adamtsl2	0.49704	0.282
Pvrl3	0.231119	0.282
Smc1a	0.192579	0.282
Klhdc1	-0.356115	0.28255
Map7d2	-0.479325	0.2826
Cdk2ap1	0.191958	0.28265
Gata3	0.295973	0.2828
Parp12	-0.225424	0.28285
Syne2	-0.251909	0.28285
Stim1	-0.200101	0.28305
Sh3d21	0.393693	0.28315
Il6ra	0.216714	0.2832
Sh3bgrl2	0.37892	0.28325
Tdrd3	0.246217	0.2834
Fahd2a	-0.28714	0.28345
Got1	-0.192389	0.28345
Zfat	0.312202	0.2835
D3Ertd254e	0.239319	0.28365
Leprel4	-0.192556	0.28365
Dedd2	-0.34315	0.2837
Cdk20	0.431584	0.28375
Snora7a	0.212643	0.2838
Dusp28	-0.351811	0.28385
Tmcc3	0.219192	0.28385
Rnf26	0.206232	0.28405
Hist1h2bc	-0.211539	0.2841
Snora64	0.17222	0.2843
Tfpi	-0.199329	0.28435
Zfp763	0.378293	0.28445
Adam33	-0.425227	0.2845
Ngf	0.366074	0.2845
Sart3	0.20884	0.2846
Stag1	0.204042	0.2849
Gpr4	-0.599652	0.28495
Foxc1	-0.205562	0.28505
Zfp354a	-0.343464	0.28525
2810408A11Rik	-0.459966	0.2853
Serinc3	-0.201557	0.2854
Xpo4	0.240514	0.2854
Chchd3	0.201101	0.28545
Bcl9	0.19074	0.28555
Irgm2	-0.295586	0.28555
Ccdc149	-0.252234	0.2856
D17H6S53E	-0.253032	0.2858
Mum1	0.22096	0.2863
Kcnj8	-0.460473	0.2864
Kctd9	0.206244	0.28685
Ddost	0.187053	0.28695
Npdc1	-0.186904	0.2871
Srsf11	0.186544	0.2875
Vps72	0.211539	0.28755
Nadk	0.187665	0.2878
Stk32b	-0.581293	0.2878
Dhfr	0.318982	0.2881
Gprin3	0.470254	0.2881
Hoxd9	0.247294	0.28855
Map3k10	-0.200419	0.2888
Blmh	0.216369	0.2889
Spdl1	0.310518	0.289
F8a	-0.327944	0.28905
Utp23	0.266804	0.2892
Mpzl3	-0.411937	0.28925
Clec2e	-0.280609	0.28945
L3mbtl3	0.208865	0.28955
Cxcl16	0.244546	0.28965
Aoc3	-0.353014	0.2899
AI854703	-0.447106	0.2901
Nudt21	0.202331	0.2901
Psmb5	0.188063	0.29045
Sparc	0.255408	0.29045
Stk35	-0.20982	0.29065
Fam110a	0.236755	0.2907
Scrn2	-0.297166	0.29075
Ypel3	-0.205212	0.2909
Arid5a	-0.369151	0.29095
Fbn1	0.183659	0.29115
Sh3bp4	0.228282	0.2913
Arhgef37	-0.516836	0.29135
Arid5b	-0.184877	0.29145
Dock5	0.195083	0.2916
Bst2	-0.188121	0.2918
Slc25a10	-0.246424	0.2919
Sf3a3	0.202695	0.29195
Gphn	0.231869	0.2921
Patl1	0.200375	0.2922
Hgsnat	-0.200713	0.29225
P2rx5	-0.243184	0.29235
Tmem39b	0.316153	0.2925
Slc2a9	-0.472343	0.29275
Slc24a3	-0.293163	0.2929
Fam43a	-0.231676	0.29295
Cse1l	0.187325	0.293
Stac2	-0.421852	0.29305
Vamp5	-0.313096	0.29335
Taz	-0.207136	0.2936
Dtymk	0.221699	0.2939
C1s	-0.183655	0.294
Rsrc2	0.192889	0.29405
Nsdhl	-0.198652	0.29415
Nid2	0.499639	0.2942
Anxa4	0.199391	0.2944
Nov	-0.345019	0.2944
Sepw1	0.187277	0.29455
Cacnb3	-0.187404	0.2946
Traf3ip1	0.239908	0.2949
Ccnl2	0.195184	0.29505
Prox2	0.503041	0.29505
Frrs1	0.228258	0.2953
Fas	-0.309346	0.2954
C030006K11Rik	-0.271466	0.29545
Abl2	0.189658	0.29555
Adamts7	0.267492	0.29555
Adam17	0.221939	0.29565
Tmbim4	-0.203723	0.2958
Lmo4	0.204814	0.29585
Sema3f	0.200027	0.29595
Nmnat1	0.372418	0.29625
Ralgapa2	0.303015	0.29625
Spg7	-0.188817	0.2963
Topors	0.199369	0.2963
Sf3a2	0.203196	0.2964
Crip1	0.229217	0.2966
Nip7	0.200149	0.2966
1600002H07Rik	0.28162	0.29665
Anp32a	0.19012	0.29685
Sf3b3	0.184429	0.29685
Npy6r	0.626319	0.29695
Nmd3	0.19409	0.2971
Eva1b	0.20957	0.29715
Rttn	0.348237	0.29715
Kremen1	-0.194324	0.2974
B4galnt1	-0.191821	0.29755
Cdc25a	0.210458	0.2976
Sema7a	0.275831	0.29765
Capzb	0.183098	0.29775
Smg5	0.183198	0.29785
Vill	0.539398	0.29785
1110001J03Rik	0.328795	0.298
Zfp46	0.217656	0.298
Zfp277	0.248092	0.29815
Pard6b	0.47172	0.2983
Igfbp2	-0.196856	0.29855
Trim33	0.189681	0.29855
Prkg1	-0.236772	0.2986
Btbd11	-0.492498	0.29865
Fbxo8	-0.213824	0.2987
Tmem2	0.217118	0.2988
Ppp1r3g	0.556304	0.29885
Sept2	0.185441	0.29885
Nelfa	0.222258	0.299
Phyh	-0.227554	0.29905
Eif4b	0.186742	0.2993
Ficd	-0.246661	0.29935
Hist1h1a	0.968341	0.29935
Lsm3	0.246895	0.29935
Zfr2	-0.297954	0.2994
A330076H08Rik	0.567611	0.29975
Tfdp1	0.185219	0.29975
Prim1	0.298939	0.30005
P2rx7	0.270772	0.30025
Ppip5k2	0.208764	0.30025
Cttnbp2nl	0.183256	0.30045
Saa3	0.351259	0.3005
Tigd3	0.625848	0.3005
Top1	0.185106	0.30055
Trim63	0.408587	0.3007
Ccdc34	0.245007	0.30095
Ube2e3	0.199633	0.30115
Matn4	0.430999	0.30125
Cbx4	-0.215455	0.30185
2300009A05Rik	-0.358662	0.30205
Krcc1	-0.191192	0.3022
AW011738	0.552602	0.30225
Fth1	-0.190678	0.30225
Zfp609	0.192514	0.30235
Map2k6	0.375553	0.3024
Sec13	0.184208	0.3024
Nav2	-0.233054	0.30245
Gstm4	0.247241	0.30255
Dos	-0.30419	0.3029
Timp2	-0.222363	0.303
Oaf	0.225384	0.3032
Prpf38a	0.213226	0.3032
Abl1	0.185322	0.30325
Ubtd2	0.208045	0.30355
Tcaim	-0.274796	0.3038
Fhit	-0.569217	0.3042
Slc2a3	0.288649	0.30435
Rps3a1	0.199954	0.3044
Hnrnpr	0.185356	0.30445
Gemin8	0.353729	0.30465
Tgds	0.238281	0.30475
Twf2	0.250143	0.30475
Emc6	-0.203151	0.3051
Tcerg1	0.18615	0.3051
Cuedc1	-0.189792	0.30525
Pbxip1	-0.183968	0.30535
Rpp25	0.483005	0.3055
Zc3h14	0.204514	0.3057
Rer1	0.184577	0.3059
Slc43a3	0.219173	0.30595
Zc3h18	0.183321	0.306
Gm9159	0.548211	0.30615
Clk4	-0.205834	0.3063
Parp1	0.191772	0.30645
Zzz3	0.228976	0.3066
Nup155	0.201429	0.30675
0610010F05Rik	-0.201483	0.30705
Ly6h	0.457277	0.3073
Zhx1	-0.18081	0.30755
Plin2	0.182291	0.30765
Ngdn	0.21523	0.3077
Fam188a	-0.184303	0.30795
Cib2	-0.311072	0.30805
Cxx1b	0.253765	0.3081
Etohi1	0.287346	0.3081
Cd59b	0.630218	0.30815
Dhrs7	-0.220905	0.3083
Dnajc22	0.720969	0.3083
Kars	0.179335	0.3083
Mogat2	-0.303387	0.30845
Sh3bgrl3	0.188345	0.30855
4930523C07Rik	-0.196904	0.30865
Snrk	-0.1879	0.30905
Gnl1	0.188022	0.3095
Rnasek	-0.187263	0.3098
Slc7a3	0.295087	0.3099
Gen1	0.365127	0.30995
Ubiad1	0.224919	0.3101
Zfp109	-0.396542	0.31015
St13	0.178149	0.3105
Cdnf	-0.406209	0.31065
Fcgr3	-0.574934	0.3107
Prim2	0.233399	0.3107
Rpl12	0.190869	0.311
Rpl37a	0.181841	0.311
Runx1t1	0.258199	0.31105
Ndrg3	0.218661	0.3111
Pcbp4	0.180789	0.3111
Timm8a1	0.206547	0.31115
Xpo1	0.180814	0.3113
Slc27a6	-0.492394	0.31135
Pgd	0.177544	0.3114
Itpr2	0.26966	0.31195
Ptp4a3	-0.199458	0.31195
Stag3	-0.37791	0.312
Zfp97	0.426191	0.312
Hps1	-0.217294	0.3121
Wfikkn2	0.483936	0.3123
Hpgd	-0.289482	0.3125
H1f0	0.178584	0.31255
Rad9b	-0.541555	0.31255
Ubl4	0.197439	0.3126
Fgf11	-0.518121	0.31275
Rabac1	-0.179492	0.31315
Tfpi2	0.318602	0.31325
Exoc3	-0.184816	0.3134
Tpm2	-0.188069	0.3134
Wasf1	0.272308	0.3135
Begain	-0.488476	0.31375
Tsen54	-0.236305	0.314
H2-Q2	-0.48007	0.3142
Il3ra	0.221069	0.3142
Slc41a3	-0.231755	0.31435
Cdk5	-0.190503	0.315
Lhfpl3	-0.483713	0.315
Ifi35	-0.216199	0.31505
Fam171a1	0.197639	0.3152
Prdm2	0.188632	0.3155
9030025P20Rik	-0.372405	0.31575
Kcnk5	0.210272	0.3158
Rbm12b1	0.346061	0.3158
Lrfn4	0.226846	0.31615
Pld2	-0.204089	0.3163
Il15ra	-0.425692	0.3165
Pop1	0.27167	0.3165
Arhgap5	0.179953	0.3166
Nppc	-0.310614	0.31665
Dyrk1a	0.183905	0.3167
Efemp1	0.24573	0.3168
Pcgf2	0.211205	0.31685
Supt20	0.202501	0.3169
Arl6ip6	0.218551	0.317
AY512931	-0.459848	0.31735
Eif2s3x	0.179154	0.31735
Atp6v0c	0.240439	0.31745
Bdnf	-0.184889	0.31745
4931414P19Rik	0.355235	0.3175
Hist2h2bb	-0.443153	0.31755
Rpl18a	0.184252	0.31765
Dcp1a	0.197196	0.3177
Gtf3c4	0.179795	0.3178
Cct3	0.180429	0.318
Nmb	-0.639817	0.3181
Rgcc	-0.560741	0.3181
Chmp4c	-0.501044	0.3184
Ddx4	-0.498593	0.3184
Pvr	-0.177235	0.31855
Fgfrl1	-0.189731	0.3186
Eif5b	0.185701	0.31865
Dhcr7	0.237578	0.3189
Impdh2	0.177393	0.319
Mlph	0.241839	0.31905
Adamts19	0.512497	0.31945
Hr	0.303533	0.3195
Hdac1	0.177667	0.31955
Irf8	-0.545436	0.3197
Ipo9	0.174081	0.32035
Zrsr2	0.204779	0.32035
Axin2	-0.240971	0.3204
D7Ertd715e	-0.372587	0.3206
Hoxb5	-0.373791	0.3207
C530008M17Rik	-0.210792	0.32085
Parp14	-0.272743	0.321
Zfp937	0.24833	0.32105
Sgpp1	-0.179339	0.32115
1700020L24Rik	-0.597135	0.3212
2900009J06Rik	-0.767638	0.32125
Sall2	0.20533	0.3213
Acin1	0.221212	0.32135
Cant1	-0.184088	0.32135
Mmp15	-0.392937	0.32135
Gpr162	-0.303601	0.32175
Toe1	0.256162	0.32175
Megf8	-0.175281	0.3218
Rusc2	-0.175221	0.32195
6720401G13Rik	-0.190489	0.322
"H2-Q7,H2-Q9"	-0.582483	0.32235
Uhrf2	0.183545	0.32265
Anapc1	0.17274	0.3228
Gas7	-0.170045	0.3228
Spry1	-0.202849	0.3228
Nol10	0.186839	0.32295
Slc27a1	0.220104	0.323
BC023829	-0.202343	0.32305
Mtfp1	0.572092	0.32315
Adamts14	0.202405	0.3233
Psmb2	0.176946	0.3233
Ehbp1	-0.198548	0.32345
Tmem198	-0.405691	0.3235
Gm8615	0.219065	0.32365
Nipsnap1	-0.216386	0.32385
Kctd2	-0.202634	0.32395
Erp29	0.175229	0.324
Hipk2	-0.180798	0.3242
Wdr43	0.173699	0.32445
Eid2b	-0.275645	0.32465
Bend3	0.21609	0.3248
Hspa4	-0.196536	0.3253
Mei4	-0.495067	0.3253
Zfp266	0.177498	0.3253
Polr1d	0.177573	0.3254
Tfrc	0.184576	0.32555
Ctdsp1	0.174051	0.3259
Lrrk2	-0.188628	0.3259
Ly6a	-0.23557	0.326
Atg10	-0.283886	0.3262
Cela1	-0.265549	0.32625
Dhx9	0.172639	0.3263
Ncrna00086	0.471007	0.32645
Adcy7	0.20561	0.32665
Sesn3	-0.258961	0.3272
Cbfa2t3	-0.445293	0.3273
Spats2	0.19311	0.3273
Fgfr2	-0.175394	0.32735
Arhgef40	0.203359	0.3274
Gnai3	0.172033	0.3275
Rpl7l1	0.174041	0.3275
Prpf19	-0.176326	0.32755
Nfe2l1	-0.180892	0.3276
Rpl34-ps1	0.175151	0.3277
Nde1	0.182709	0.32785
Ptbp2	0.190568	0.32785
Fbxw5	-0.175553	0.3279
Lsm2	0.257393	0.3279
Clic4	0.17285	0.32805
Dcbld2	-0.172076	0.32815
2810001G20Rik	0.408059	0.3283
Dhx34	-0.225459	0.32835
Hint2	-0.289527	0.32835
Wbscr27	-0.251039	0.3284
Ing5	0.211085	0.3286
Shfm1	0.177311	0.3286
Cfdp1	0.176353	0.32865
Xpnpep1	0.17302	0.32865
Rsph9	-0.413324	0.32875
Pla2g15	-0.183121	0.3288
Metrnl	0.196235	0.329
Sgsm1	-0.315065	0.3293
Parp16	-0.289331	0.32935
Frmd4a	0.183709	0.3294
Ccdc103	-0.652215	0.32955
Sulf1	-0.172926	0.32955
Wbp11	0.178041	0.32955
Ston2	-0.231706	0.3297
Tmem81	0.377622	0.32975
Lrrc41	0.173813	0.32985
Serinc2	-0.221453	0.3299
Chst1	-0.282734	0.32995
Tinagl1	0.17667	0.32995
Btbd19	-0.229046	0.33005
"Amd1,Amd2"	7.23674	0.3301
Gm14393	-0.534377	0.3301
Gstcd	0.258757	0.3302
Mad1l1	0.20699	0.33025
Ltbp2	-0.179532	0.3303
Tgfb1i1	-0.171727	0.3303
Kifc3	-0.259708	0.33035
Mex3a	0.177785	0.33045
Fam211b	0.43794	0.3305
Mrto4	0.195647	0.3305
Setdb2	0.302804	0.3305
Tcea2	-0.307417	0.3306
Acadl	0.175219	0.3308
Nek8	-0.24742	0.3308
Adcy5	-0.206773	0.33085
Ipmk	0.226143	0.33095
Serf1	0.265406	0.331
Becn1	-0.172602	0.33105
Agphd1	-0.253477	0.3311
Fat1	-0.171415	0.3312
Pgr	-0.18363	0.3313
Phf5a	0.194151	0.3313
Emp3	-0.171765	0.33145
Ppm1h	-0.264364	0.3316
Eif4e	0.169915	0.3317
Shroom4	0.364717	0.3317
Nop56	0.236176	0.3318
Slfn8	-0.481909	0.3318
Zfp467	-0.311715	0.3321
Adhfe1	0.53272	0.3322
Mfsd10	0.181757	0.3323
Rhot1	-0.178408	0.3324
Zfp280b	0.193583	0.33245
Tap1	-0.245636	0.33265
Gm5077	-0.231935	0.33295
Filip1l	-0.173319	0.333
Rnft2	-0.345144	0.333
Nfxl1	0.21565	0.3332
Cad	0.17866	0.3333
A530046M15Rik	-0.458615	0.3334
Ifnlr1	-0.395038	0.33345
Ncbp1	0.173885	0.33355
Necap2	0.187449	0.3336
Ccdc18	0.482128	0.3337
Zfp933	0.277631	0.33375
Htatip2	-0.190404	0.3338
Sin3a	0.179806	0.3338
Gm2382	-0.361497	0.3339
Kdm2a	0.167674	0.33415
Rhoj	0.171361	0.33415
Khsrp	0.170893	0.33435
Gbp7	-0.334813	0.33445
Slc16a11	-0.427837	0.33445
Znhit2	-0.221018	0.3349
Ero1lb	-0.302307	0.33495
Arhgap21	0.168233	0.335
Gm11747	-0.422704	0.335
Birc6	0.169894	0.33515
Fam111a	0.183811	0.33555
Shpk	-0.339029	0.33565
Fbxl4	-0.215734	0.33575
Ndst3	0.42957	0.33585
Arhgap8	-0.51874	0.336
Pola2	0.241969	0.33605
Wdr76	0.327118	0.3362
Prickle1	0.203272	0.3363
Pbld2	-0.496828	0.33645
Vps41	-0.173149	0.3368
Adh5	0.170908	0.33685
Gpc3	-0.48061	0.3369
Akap13	-0.170224	0.33705
Ctdp1	0.183272	0.3371
Ccp110	0.220268	0.33715
Tspyl4	-0.191231	0.33725
Ran	0.17097	0.33735
Mdc1	0.187268	0.33745
Papln	-0.270855	0.33745
Hs6st2	-0.441474	0.33755
Mblac1	-0.381805	0.33755
Wnk4	-0.279494	0.33755
Dusp1	-0.177305	0.3376
Lrrc15	0.262978	0.33765
Gtsf1	-0.744975	0.33775
Tnfrsf21	-0.251236	0.3381
Cyp4f13	-0.2249	0.33815
8430410A17Rik	0.215287	0.3384
Lmod1	-0.169524	0.3384
Dazap1	0.177403	0.33855
Rbm17	0.172183	0.3387
Bean1	-0.531485	0.33875
4632427E13Rik	-0.599241	0.339
Rrp9	0.202411	0.33905
Tra2b	0.170349	0.33905
Psd4	-0.483742	0.3391
Podnl1	-0.425996	0.33915
Eif4h	0.169139	0.3392
Aig1	0.229908	0.3394
Pip4k2a	-0.169553	0.3395
Pigc	0.214367	0.3396
Itfg1	-0.169476	0.33975
Lpar4	0.276764	0.3398
Ank2	-0.216687	0.3399
Fstl3	-0.257425	0.34005
Lrba	-0.224846	0.3401
Lix1l	0.169657	0.3405
Sf3b4	0.170943	0.34065
Lrrc48	-0.635876	0.3408
Tor2a	0.206197	0.3411
Gnb5	-0.181033	0.34115
Bdh1	-0.30561	0.3414
Bcar3	-0.23789	0.3415
Dynlt3	-0.166673	0.34155
Rtf1	0.175454	0.34155
A530013C23Rik	-0.422079	0.3416
Cep89	0.251122	0.3416
Shmt2	0.19116	0.34185
Ube2cbp	0.453258	0.34185
Nsmf	-0.175691	0.34195
Elovl5	0.166433	0.3421
Snrpe	0.177992	0.3424
Actr3b	-0.361927	0.3427
AI507597	1.1859	0.34295
C1ra	-0.17666	0.34295
Bcl2l13	0.17851	0.343
LOC100504608	0.563506	0.34305
Rps29	0.169298	0.34305
Hirip3	0.225687	0.3432
Qser1	0.181771	0.3432
Irak2	-0.178374	0.34325
Gm20604	0.320576	0.34335
Cirh1a	0.174374	0.3434
6430706D22Rik	0.263466	0.34345
Psmd9	0.200554	0.3436
Zfp948	0.195448	0.34365
Rdh12	-0.435002	0.34375
Aldh3b1	-0.245395	0.3438
Galnt15	-0.299871	0.3438
Pter	-0.252072	0.3439
Uchl5	0.218701	0.344
"Ang3,Ang5"	0.845099	0.34405
BC017643	-0.192538	0.34405
Zfp493	-0.439648	0.34415
Arid1a	0.169866	0.3443
Mageh1	-0.205836	0.34465
Ubqln4	0.174502	0.34465
Ddx20	0.226551	0.34475
Asun	0.199536	0.34485
Ptgds	0.647246	0.3449
Slc29a3	-0.182775	0.3449
Itgb5	-0.168985	0.34495
Smtn	-0.164368	0.345
Pou4f1	0.453634	0.3451
Sfpq	0.16969	0.34515
Apbb2	-0.184816	0.3452
Pebp1	0.167171	0.3452
Lphn1	0.168555	0.34535
Snrpn	-0.218283	0.3455
Gpn3	0.231696	0.34565
Tenc1	-0.171579	0.34585
Tbx3	0.166618	0.34605
Arhgef5	-0.167972	0.3461
Rprm	0.274275	0.3461
Chmp2a	-0.168928	0.34655
Mpc2	-0.191298	0.3466
Dusp6	-0.229759	0.3467
Poc1a	0.329135	0.34685
Epn2	-0.168603	0.3469
Pgk1	0.182546	0.3469
Lrdd	-0.271336	0.347
Gtf2e2	0.188626	0.34705
Psmb4	0.166145	0.3471
Tmem106c	-0.202608	0.3471
Fgf18	-0.272199	0.34715
Msi2	-0.177158	0.34715
Mef2b	-0.71023	0.3472
Macc1	0.525073	0.34745
Tmem194b	0.42537	0.34745
Klhdc8a	0.424269	0.34755
Slc30a7	0.170359	0.34765
Camkk2	0.198743	0.34785
Acsl4	-0.166937	0.3479
Prrc1	0.16873	0.34795
Aven	0.237643	0.34805
Fads6	-0.585328	0.34805
Rplp2	0.165841	0.34815
Sh3yl1	0.317583	0.3483
Iglon5	-0.209035	0.34835
Limd1	-0.166507	0.3484
Ilf2	0.287684	0.3485
Acsf2	0.193931	0.34855
Mgst2	0.352725	0.3486
Fam32a	0.168206	0.34865
Smc6	0.166038	0.34875
Tmem30b	-0.378774	0.3488
Mettl9	-0.164893	0.34885
Zfp300	0.468407	0.34915
Pcbp2	0.199129	0.34925
Xlr3a	-0.541063	0.34935
Chrnb1	-0.213943	0.34945
Aurkaip1	0.178804	0.3495
Cpne4	-0.500039	0.34955
Snai1	0.204715	0.3496
Mob3b	-0.419194	0.34985
Polr1a	0.171789	0.3499
Stambp	-0.200689	0.35
Axin1	0.165993	0.35005
Entpd2	0.407834	0.35005
Hoxa11as	-0.261594	0.35025
Irf3	-0.172699	0.3507
1700013G23Rik	-0.881289	0.35075
Dll1	0.50923	0.3508
Gstk1	-0.210362	0.3508
Uba52	0.170192	0.3511
Avpi1	-0.216	0.35115
7530420F21Rik	0.450394	0.3512
Klhl22	0.167376	0.35125
Trim32	0.186828	0.3514
Dancr	-0.281071	0.3515
Dnase2a	0.216247	0.35155
Sgcb	-0.180409	0.35185
Mthfd1l	0.172628	0.3519
Icam1	-0.216283	0.35195
Abca5	0.204365	0.352
Chic2	0.20255	0.352
Csde1	0.164377	0.352
Aph1a	0.165191	0.3521
Il27ra	0.504817	0.35215
Jag1	0.191797	0.35225
Fam132a	0.197298	0.3524
Acot4	-0.419917	0.35245
Zfml	0.168909	0.35245
Tnn	-0.424888	0.35285
Rpl32	0.172388	0.3529
Gm1673	-0.359773	0.35305
Ptms	0.163067	0.35305
Renbp	0.168321	0.3531
Ankrd26	0.241088	0.35315
Edc3	0.190214	0.3533
Pde3a	0.182071	0.35335
AI414108	-0.378535	0.35345
Lrrc40	0.197869	0.3537
Slc22a15	-0.296955	0.35375
Ddx39	0.281352	0.3538
BC029722	-0.176222	0.35385
Ppm1j	-0.254781	0.35385
Ccdc104	-0.17887	0.35395
Dpysl2	0.232112	0.35405
Numbl	-0.165182	0.3543
Trim34a	-0.436089	0.35445
Cep70	0.30304	0.35455
Mmp12	-0.330173	0.3546
Iffo1	-0.204429	0.35465
Fam20a	-0.190612	0.35475
BC068281	0.336344	0.3548
Stag2	0.163191	0.3549
Nup54	0.184858	0.35495
Rock2	-0.169693	0.35515
Sept3	-0.449563	0.35515
Ndor1	-0.180359	0.35525
Tmem203	-0.24109	0.35525
Ankrd10	-0.170999	0.3553
D430019H16Rik	-0.360785	0.35545
Med8	0.189011	0.35545
Nnmt	-0.248655	0.35545
Padi2	-0.478098	0.35545
Gabra4	0.262121	0.3556
Deptor	0.442374	0.35565
Irf2bpl	-0.16198	0.3557
Shroom2	-0.179017	0.3559
Armcx6	0.257612	0.35595
Zfp282	0.212345	0.3561
Pfdn2	0.184024	0.35615
Zfp647	0.31228	0.35615
Nfia	0.188782	0.35645
Col20a1	-0.355036	0.35655
Chpf	-0.162903	0.3566
Epb4.9	-0.308166	0.3566
Scg2	0.558959	0.3568
Sass6	0.440238	0.35685
Abcg4	-0.396092	0.3569
Lmna	0.169914	0.35695
Tef	0.1696	0.35695
Srgap2	0.180543	0.35705
Papss1	0.161814	0.3573
Dhrs3	-0.16302	0.3574
Zfp715	-0.184127	0.35745
Sh3gl1	0.201901	0.35765
Cdc7	0.279285	0.3577
Sart1	0.172216	0.3577
Ppm1l	-0.197382	0.35775
Tubb6	0.161233	0.35775
Cdk10	-0.186996	0.35835
Dner	-0.507995	0.3585
Plscr2	-0.213954	0.35855
1110038B12Rik	0.177422	0.3591
Parp10	-0.198674	0.3595
Cflar	-0.170202	0.35955
Coprs	0.244382	0.35955
Rnps1	0.163165	0.35955
Metrn	0.21939	0.35965
Zfp472	0.319779	0.3597
Pkd2	-0.162474	0.35995
Siah3	-0.458839	0.3601
Pik3r5	-0.279712	0.3602
Gid4	-0.179705	0.36035
4921531C22Rik	-0.413664	0.36045
Scaf8	0.165798	0.36045
